empresa,cnpj,marcas,dominios,portaria,requerimento,cnpj_basico,cnpj_dv_ok
OIG GAMING BRAZIL LTDA,55459453000172,BETÃO,betao.bet.br,"SPA/MF nº 2.096, de 30 de dezembro de 2024",0015/2024,55459453,True
OIG GAMING BRAZIL LTDA,55459453000172,R7,r7.bet.br,"SPA/MF nº 2.096, de 30 de dezembro de 2024",0015/2024,55459453,True
BLAC JOGOS LTDA,55988317000170,SPORTYBET,sporty.bet.br,"SPA/MF nº 2.095, de 30 de dezembro de 2024",0011/2024,55988317,True
GALERA GAMING JOGOS ELETRONICOS S.A.,31853299000150,GALERA.BET,galera.bet.br,"SPA/MF nº 2.094, de 30 de dezembro de 2024",0009/2024,31853299,True
APOLLO OPERATIONS LTDA,54923003000126,KTO,kto.bet.br,"SPA/MF nº 2.093, de 30 de dezembro de 2024",0007/2024,54923003,True
NSX BRASIL S.A.,55056104000100,BETNACIONAL,betnacional.bet.br,"SPA/MF nº 2.092, de 30 de dezembro de 2024",0006/2024,55056104,True
"MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA",34935286000119,REI DO PITACO,reidopitaco.bet.br,"SPA/MF nº 2.091, de 30 de dezembro 2024",0003/2024,34935286,True
"MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA",34935286000119,PITACO,pitaco.bet.br,"SPA/MF nº 2.091, de 30 de dezembro 2024",0003/2024,34935286,True
"MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA",34935286000119,RdP,rdp.bet.br,"SPA/MF nº 2.091, de 30 de dezembro 2024",0003/2024,34935286,True
SPRBT INTERACTIVE BRASIL LTDA,54071596000140,SUPERBET,superbet.bet.br,"SPA/MF nº 2.090, de 30 de dezembro de 2024",0002/2024,54071596,True
SPRBT INTERACTIVE BRASIL LTDA,54071596000140,MAGICJACKPOT,magicjackpot.bet.br,"SPA/MF nº 2.090, de 30 de dezembro de 2024",0002/2024,54071596,True
SPRBT INTERACTIVE BRASIL LTDA,54071596000140,SUPER,super.bet.br,"SPA/MF nº 2.090, de 30 de dezembro de 2024",0002/2024,54071596,True
