empresa,cnpj,marcas,dominios,portaria,requerimento,cnpj_basico,cnpj_dv_ok
LBBR APOSTAS DE QUOTA FIXA LIMITADA,56441713000145,LUCK.BET,luck.bet.br,"SPA/MF nº 527, de 14 de março de 2025",0090/2024,56441713,True
LBBR APOSTAS DE QUOTA FIXA LIMITADA,56441713000145,1 PRA 1,1pra1.bet.br,"SPA/MF nº 527, de 14 de março de 2025",0090/2024,56441713,True
LBBR APOSTAS DE QUOTA FIXA LIMITADA,56441713000145,STARTBET,start.bet.br,"SPA/MF nº 527, de 14 de março de 2025",0090/2024,56441713,True
MERIDIAN GAMING BRASIL SPE LTDA,56195600000107,MERIDIAN,meridianbet.bet.br,"SPA/MF nº 526, de 14 de março de 2025",0086/2024,56195600,True
MERIDIAN GAMING BRASIL SPE LTDA,56195600000107,PIN,pin.bet.br,"SPA/MF nº 526, de 14 de março de 2025",0086/2024,56195600,True
RR PARTICIPAÇÕES E INTERMEDIAÇÕES DE NEGÓCIOS LTDA,23159703000162,MULTIBET,multi.bet.br,"SPA/MF nº 525, de 14 de março de 2025",0077/2024,23159703,True
RR PARTICIPAÇÕES E INTERMEDIAÇÕES DE NEGÓCIOS LTDA,23159703000162,RICOBET,rico.bet.br,"SPA/MF nº 525, de 14 de março de 2025",0077/2024,23159703,True
RR PARTICIPAÇÕES E INTERMEDIAÇÕES DE NEGÓCIOS LTDA,23159703000162,BRXBET,brx.bet.br,"SPA/MF nº 525, de 14 de março de 2025",0077/2024,23159703,True
PIX NA HORA,55258645000110,APOSTA1,aposta1.bet.br,"SPA/MF nº 524, de 14 de março de 2025",0072/2024,55258645,True
PIX NA HORA,55258645000110,APOSTAMAX,apostamax.bet.br,"SPA/MF nº 524, de 14 de março de 2025",0072/2024,55258645,True
PIX NA HORA,55258645000110,AVIÃOBET,aviao.bet.br,"SPA/MF nº 524, de 14 de março de 2025",0072/2024,55258645,True
EA ENTRETENIMENTO E ESPORTES S.A.,53570592000143,BATEU BET,bateu.bet.br,"SPA/MF nº 523, de 14 de março de 2025",0047/2024,53570592,True
EA ENTRETENIMENTO E ESPORTES S.A.,53570592000143,ESPORTIVA BET,esportiva.bet.br,"SPA/MF nº 523, de 14 de março de 2025",0047/2024,53570592,True
HILGARDO GAMING LTDA,54362120000168,A247,a247.bet.br,"SPA/MF nº 475, de 10 de março de 2025",0106/2024,54362120,True
HILGARDO GAMING LTDA,54362120000168,HILGARDO,a definir,"SPA/MF nº 475, de 10 de março de 2025",0106/2024,54362120,True
HILGARDO GAMING LTDA,54362120000168,HILGARDO GAMING,a definir,"SPA/MF nº 475, de 10 de março de 2025",0106/2024,54362120,True
VERSUS BRASIL LTDA,55080231000144,VERSUSBET,versus.bet.br,"SPA/MF nº 474, de 10 de março de 2025",0089/2024,55080231,True
VERSUS BRASIL LTDA,55080231000144,VS - VERSUS,a definir,"SPA/MF nº 474, de 10 de março de 2025",0089/2024,55080231,True
WORLD SPORTS TECHNOLOGY DO BRASIL S.A.,55822818000181,BETCOPA,betcopa.bet.br,"SPA/MF nº 473, de 10 de março de 2025",0075/2024,55822818,True
WORLD SPORTS TECHNOLOGY DO BRASIL S.A.,55822818000181,BRASIL DA SORTE,brasildasorte.bet.br,"SPA/MF nº 473, de 10 de março de 2025",0075/2024,55822818,True
WORLD SPORTS TECHNOLOGY DO BRASIL S.A.,55822818000181,FYBET,fybet.bet.br,"SPA/MF nº 473, de 10 de março de 2025",0075/2024,55822818,True
B3T4 INTERNATIONAL GROUP LTDA,56706644000154,BET4,bet4.bet.br,"SPA/MF nº 472, de 10 de março de 2025",0063/2024,56706644,True
