cnpj,cnpj_basico,empresa,n_autorizacoes,cnpj_dv_ok,portarias,n_marcas,marcas,DENOMINAÇÃO SOCIAL DA EMPRESA,CNPJ,MARCAS,DOMÍNIOS,INFORMAÇÕES JUDICIAIS
56147145000174,56147145,A2FBR S.A.,6,True,"SPA/MF nº 2.102, de 30 de dezembro de 2024 || SPA/MF nº 2.101, de 30 de dezembro de 2024",6,PINNACLE | MATCHBOOK | BETESPECIAL | BOLSA DE APOSTA | FULLTBET | BETBRA,,,,,
55359927000104,55359927,ALFA ENTRETENIMENTO S.A.,1,True,"SPA/MF nº 2.100, de 30 de dezembro de 2024",1,ALFA.BET,,,,,
56060798000111,56060798,DIGIPLUS BRAZIL INTERACTIVE LTDA,1,True,"SPA/MF nº 2.099, de 30 de dezembro de 2024",1,ARENAPLUS,,,,,
53837227000152,53837227,BOA LION S.A.,2,True,"SPA/MF nº 2.098, de 30 de dezembro de 2024",2,BETMGM | MGM,,,,,
56268974000105,56268974,SEGURO BET LTDA,2,True,"SPA/MF nº 2.097, de 30 de dezembro de 2024",2,SEGURO BET | KING PANDA,,,,,
55988317000170,55988317,BLAC JOGOS LTDA,1,True,"SPA/MF nº 2.095, de 30 de dezembro de 2024",1,SPORTYBET,,,,,
31853299000150,31853299,GALERA GAMING JOGOS ELETRONICOS S.A.,1,True,"SPA/MF nº 2.094, de 30 de dezembro de 2024",1,GALERA.BET,,,,,
54923003000126,54923003,APOLLO OPERATIONS LTDA,1,True,"SPA/MF nº 2.093, de 30 de dezembro de 2024",1,KTO,,,,,
55056104000100,55056104,NSX BRASIL S.A.,1,True,"SPA/MF nº 2.092, de 30 de dezembro de 2024",1,BETNACIONAL,,,,,
34935286000119,34935286,"MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA",3,True,"SPA/MF nº 2.091, de 30 de dezembro 2024",3,REI DO PITACO | PITACO | RdP,,,,,
54071596000140,54071596,SPRBT INTERACTIVE BRASIL LTDA,3,True,"SPA/MF nº 2.090, de 30 de dezembro de 2024",3,SUPERBET | MAGICJACKPOT | SUPER,,,,,
