cnpj,empresa,marca,dominio,portaria,requerimento,dominio_pareado
56441713000145,LBBR APOSTAS DE QUOTA FIXA LIMITADA,STARTBET,start.bet.br,"SPA/MF nº 527, de 14 de março de 2025",0090/2024,True
56195600000107,MERIDIAN GAMING BRASIL SPE LTDA,MERIDIAN,meridianbet.bet.br,"SPA/MF nº 526, de 14 de março de 2025",0086/2024,True
56195600000107,MERIDIAN GAMING BRASIL SPE LTDA,PIN,pin.bet.br,"SPA/MF nº 526, de 14 de março de 2025",0086/2024,True
23159703000162,RR PARTICIPAÇÕES E INTERMEDIAÇÕES DE NEGÓCIOS LTDA,MULTIBET,multi.bet.br,"SPA/MF nº 525, de 14 de março de 2025",0077/2024,True
23159703000162,RR PARTICIPAÇÕES E INTERMEDIAÇÕES DE NEGÓCIOS LTDA,RICOBET,rico.bet.br,"SPA/MF nº 525, de 14 de março de 2025",0077/2024,True
23159703000162,RR PARTICIPAÇÕES E INTERMEDIAÇÕES DE NEGÓCIOS LTDA,BRXBET,brx.bet.br,"SPA/MF nº 525, de 14 de março de 2025",0077/2024,True
55258645000110,PIX NA HORA,APOSTA1,aposta1.bet.br,"SPA/MF nº 524, de 14 de março de 2025",0072/2024,True
55258645000110,PIX NA HORA,APOSTAMAX,apostamax.bet.br,"SPA/MF nº 524, de 14 de março de 2025",0072/2024,True
55258645000110,PIX NA HORA,AVIÃOBET,aviao.bet.br,"SPA/MF nº 524, de 14 de março de 2025",0072/2024,True
53570592000143,EA ENTRETENIMENTO E ESPORTES S.A.,BATEU BET,bateu.bet.br,"SPA/MF nº 523, de 14 de março de 2025",0047/2024,True
53570592000143,EA ENTRETENIMENTO E ESPORTES S.A.,ESPORTIVA BET,esportiva.bet.br,"SPA/MF nº 523, de 14 de março de 2025",0047/2024,True
54362120000168,HILGARDO GAMING LTDA,A247,a247.bet.br,"SPA/MF nº 475, de 10 de março de 2025",0106/2024,True
54362120000168,HILGARDO GAMING LTDA,HILGARDO,,"SPA/MF nº 475, de 10 de março de 2025",0106/2024,False
54362120000168,HILGARDO GAMING LTDA,HILGARDO GAMING,,"SPA/MF nº 475, de 10 de março de 2025",0106/2024,False
55080231000144,VERSUS BRASIL LTDA,VERSUSBET,versus.bet.br,"SPA/MF nº 474, de 10 de março de 2025",0089/2024,True
55080231000144,VERSUS BRASIL LTDA,VS - VERSUS,,"SPA/MF nº 474, de 10 de março de 2025",0089/2024,False
55822818000181,WORLD SPORTS TECHNOLOGY DO BRASIL S.A.,BETCOPA,betcopa.bet.br,"SPA/MF nº 473, de 10 de março de 2025",0075/2024,True
55822818000181,WORLD SPORTS TECHNOLOGY DO BRASIL S.A.,BRASIL DA SORTE,brasildasorte.bet.br,"SPA/MF nº 473, de 10 de março de 2025",0075/2024,True
55822818000181,WORLD SPORTS TECHNOLOGY DO BRASIL S.A.,FYBET,fybet.bet.br,"SPA/MF nº 473, de 10 de março de 2025",0075/2024,True
56706644000154,B3T4 INTERNATIONAL GROUP LTDA,BET4,bet4.bet.br,"SPA/MF nº 472, de 10 de março de 2025",0063/2024,True
56706644000154,B3T4 INTERNATIONAL GROUP LTDA,APOSTA BET,aposta.bet.br,"SPA/MF nº 472, de 10 de março de 2025",0063/2024,True
56706644000154,B3T4 INTERNATIONAL GROUP LTDA,FAZ O BET,fazo.bet.br,"SPA/MF nº 472, de 10 de março de 2025",0063/2024,True
56431248000161,FOGGO ENTERTAINMENT LTDA,BLAZE,blaze.bet.br,"SPA/MF nº 471, de 10 de março de 2025",0053/2024,True
